sub_region_1,date,dayoftheweek,ukhol,ff_type,ff_min,ff_mean,ff_median,ff_max,ff_mad,ff_var
East Midlands,2020-03-31,Tuesday,,Parks,-68,-14,-17,101,15,808
East Midlands,2020-03-31,Tuesday,,Transit Stations,-78,-58,-59,-25,7,97
East Midlands,2020-03-31,Tuesday,,Workplaces,-76,-65,-66,-47,4,28
East Midlands,2020-03-31,Tuesday,,Residential,18,25,25,30,3,7
East Midlands,2020-04-01,Wednesday,,Retail and Recreation,-86,-75,-75,-61,4,26
East Midlands,2020-04-01,Wednesday,,Grocery and Pharmacy,-37,-30,-30,-18,4,19
East Midlands,2020-04-01,Wednesday,,Parks,-78,-25,-24,61,10,468
East Midlands,2020-04-01,Wednesday,,Transit Stations,-79,-61,-61,-37,6,79
East Midlands,2020-04-01,Wednesday,,Workplaces,-75,-65,-66,-47,3,28
East Midlands,2020-04-01,Wednesday,,Residential,18,26,26,31,3,8
East Midlands,2020-04-02,Thursday,,Retail and Recreation,-85,-74,-74,-65,4,18
East Midlands,2020-04-02,Thursday,,Grocery and Pharmacy,-37,-28,-29,-18,4,17
East Midlands,2020-04-02,Thursday,,Parks,-71,-19,-18,39,17,373
East Midlands,2020-04-02,Thursday,,Transit Stations,-80,-60,-61,-31,9,111
East Midlands,2020-04-02,Thursday,,Workplaces,-76,-65,-66,-48,4,28
East Midlands,2020-04-02,Thursday,,Residential,18,26,26,30,3,8
East Midlands,2020-04-03,Friday,,Retail and Recreation,-86,-75,-75,-67,4,21
East Midlands,2020-04-03,Friday,,Grocery and Pharmacy,-39,-28,-28,-17,4,24
East Midlands,2020-04-03,Friday,,Parks,-76,-18,-23,72,15,635
East Midlands,2020-04-03,Friday,,Transit Stations,-78,-58,-59,-26,10,133
East Midlands,2020-04-03,Friday,,Workplaces,-74,-64,-65,-47,3,23
East Midlands,2020-04-03,Friday,,Residential,19,27,26,30,2,6
East Midlands,2020-04-04,Saturday,,Retail and Recreation,-90,-81,-82,-74,5,18
East Midlands,2020-04-04,Saturday,,Grocery and Pharmacy,-46,-35,-36,-18,5,32
East Midlands,2020-04-04,Saturday,,Parks,-86,-33,-31,-3,22,344
East Midlands,2020-04-04,Saturday,,Transit Stations,-80,-59,-60,-19,13,165
East Midlands,2020-04-04,Saturday,,Workplaces,-60,-53,-55,-36,4,23
